cohort_month,start_date
september_2020,2020-09-01
october_2020,2020-09-30
november_2020,2020-11-04
december_2020,2020-12-01
january_2020,2021-01-04
february_2020,2021-02-03
march_2020,2021-03-03
april_2020,2021-03-07
may_2020,2021-05-05
june_2020,2021-06-02
july_2020,2021-07-07
august_2021,2021-08-04
september_2021,2021-09-01
october_2021,2021-10-06
november_2021,2021-11-03
december_2021,2021-12-01
january_2022,2022-01-05
february_2022,2022-02-02
march_2022,2022-03-02
april_2022,2022-04-06
may_2022,2022-05-04
june_2022,2022-06-01
july_2022,2022-07-06
august_2022,2022-08-03
