shortname,fullname,category,summary,visible,startdate,enddate,enablecompletion,templatecourse
December 2021 Chapter 01,DDA 40hr CORE December 2021 Chapter 1,21,A Chapter from the DDA 40hr CORE,0,25.10.2021,25.1.2022,1,November 2021 Chapter 01
December 2021 Chapter 02,DDA 40hr CORE December 2021 Chapter 2,21,A Chapter from the DDA 40hr CORE,0,25.10.2021,25.1.2022,1,November 2021 Chapter 02
December 2021 Chapter 03,DDA 40hr CORE December 2021 Chapter 3,21,A Chapter from the DDA 40hr CORE,0,25.10.2021,25.1.2022,1,November 2021 Chapter 03
December 2021 Chapter 04,DDA 40hr CORE December 2021 Chapter 4,21,A Chapter from the DDA 40hr CORE,0,25.10.2021,25.1.2022,1,November 2021 Chapter 04
December 2021 Chapter 05,DDA 40hr CORE December 2021 Chapter 5,21,A Chapter from the DDA 40hr CORE,0,25.10.2021,25.1.2022,1,November 2021 Chapter 05
December 2021 Chapter 06,DDA 40hr CORE December 2021 Chapter 6,21,A Chapter from the DDA 40hr CORE,0,25.10.2021,25.1.2022,1,November 2021 Chapter 06
December 2021 Chapter 07,DDA 40hr CORE December 2021 Chapter 7,21,A Chapter from the DDA 40hr CORE,0,25.10.2021,25.1.2022,1,November 2021 Chapter 07
December 2021 Chapter 08,DDA 40hr CORE December 2021 Chapter 8,21,A Chapter from the DDA 40hr CORE,0,25.10.2021,25.1.2022,1,November 2021 Chapter 08
December 2021 Chapter 09,DDA 40hr CORE December 2021 Chapter 9,21,A Chapter from the DDA 40hr CORE,0,25.10.2021,25.1.2022,1,November 2021 Chapter 09
December 2021 Chapter 10,DDA 40hr CORE December 2021 Chapter 10,21,A Chapter from the DDA 40hr CORE,0,25.10.2021,25.1.2022,1,November 2021 Chapter 10
December 2021 Chapter 11,DDA 40hr CORE December 2021 Chapter 11,21,A Chapter from the DDA 40hr CORE,0,25.10.2021,25.1.2022,1,November 2021 Chapter 11
December 2021 Chapter 12,DDA 40hr CORE December 2021 Chapter 12,21,A Chapter from the DDA 40hr CORE,0,25.10.2021,25.1.2022,1,November 2021 Chapter 12
December 2021 Chapter 13,DDA 40hr CORE December 2021 Chapter 13,21,A Chapter from the DDA 40hr CORE,0,25.10.2021,25.1.2022,1,November 2021 Chapter 13
December 2021 Chapter 14,DDA 40hr CORE December 2021 Chapter 14,21,A Chapter from the DDA 40hr CORE,0,25.10.2021,25.1.2022,1,November 2021 Chapter 14
!December 2021 VOAWW 40hr Main Course,!December 2021 VOAWW 40hr Main Course,21,The main course for VOAWW Staff going through the 40hr CORE,1,25.10.2021,25.1.2022,1,!November 2021 VOAWW 40hr Main Course
!December 2021 SOLA 40hr Main Course,!December 2021 VOAWW 40hr Main Course,21,The main course for SOLA Staff going through the 40hr CORE,1,25.10.2021,25.1.2022,1,!November 2021 External 40hr Main Course
!December 2021 Exempt Staff Course,!December 2021 VOAWW 40hr Main Course,21,The main course for Exempt VOAWW staff taking trainings,1,25.10.2021,25.1.2022,1,!November 2021 Exempt Staff Course
