shortname,fullname,category,summary,visible,startdate,enddate,enablecompletion,templatecourse
February 2022 Chapter 01,February 2022 Chapter 01,23,A Chapter from the DDA 40hr CORE,0,20.1.2022,25.3.2022,1,January 2022 Chapter 01
February 2022 Chapter 02,February 2022 Chapter 02,23,A Chapter from the DDA 40hr CORE,0,20.1.2022,25.3.2022,1,January 2022 Chapter 02
February 2022 Chapter 03,February 2022 Chapter 03,23,A Chapter from the DDA 40hr CORE,0,20.1.2022,25.3.2022,1,January 2022 Chapter 03
February 2022 Chapter 04,February 2022 Chapter 04,23,A Chapter from the DDA 40hr CORE,0,20.1.2022,25.3.2022,1,January 2022 Chapter 04
February 2022 Chapter 05,February 2022 Chapter 05,23,A Chapter from the DDA 40hr CORE,0,20.1.2022,25.3.2022,1,January 2022 Chapter 05
February 2022 Chapter 06,February 2022 Chapter 06,23,A Chapter from the DDA 40hr CORE,0,20.1.2022,25.3.2022,1,January 2022 Chapter 06
February 2022 Chapter 07,February 2022 Chapter 07,23,A Chapter from the DDA 40hr CORE,0,20.1.2022,25.3.2022,1,January 2022 Chapter 07
February 2022 Chapter 08,February 2022 Chapter 08,23,A Chapter from the DDA 40hr CORE,0,20.1.2022,25.3.2022,1,January 2022 Chapter 08
February 2022 Chapter 09,February 2022 Chapter 09,23,A Chapter from the DDA 40hr CORE,0,20.1.2022,25.3.2022,1,January 2022 Chapter 09
February 2022 Chapter 10,February 2022 Chapter 10,23,A Chapter from the DDA 40hr CORE,0,20.1.2022,25.3.2022,1,January 2022 Chapter 10
February 2022 Chapter 11,February 2022 Chapter 11,23,A Chapter from the DDA 40hr CORE,0,20.1.2022,25.3.2022,1,January 2022 Chapter 11
February 2022 Chapter 12,February 2022 Chapter 12,23,A Chapter from the DDA 40hr CORE,0,20.1.2022,25.3.2022,1,January 2022 Chapter 12
February 2022 Chapter 13,February 2022 Chapter 13,23,A Chapter from the DDA 40hr CORE,0,20.1.2022,25.3.2022,1,January 2022 Chapter 13
February 2022 Chapter 14,February 2022 Chapter 14,23,A Chapter from the DDA 40hr CORE,0,20.1.2022,25.3.2022,1,January 2022 Chapter 14
!February 2022 40hr Main Course,!February 2022 40hr Main Course,23,The main course for VOAWW Staff going through the 40hr CORE,1,20.1.2022,25.3.2022,1,!January 2022 VOAWW 40hr Main Course
